policy_holder_id,first_name,last_name,date_of_birth,gender,address,phone_number,email_address,insurance_plan_details,coverage_start_date,coverage_end_date,policy_standing
885440,Chelsea,Nunez,2002-09-05,F,"61/935 John Siding, Grayshire, VIC, 2169",+61-2-2714-2787,hensontroy@example.com,Amet reprehenderit voluptate impedit molestias vitae voluptatem.,2015-07-25,2015-10-24,Expired
403958,Richard,Gregory,1965-05-17,M,"089 James Rosebowl, New Joshua, NT, 2576",+61-410-471-428,darin24@example.org,Aliquam perspiciatis nam.,2019-08-01,2020-04-18,Expired
794772,Meghan,Ali,2005-01-13,O,"58/369 Smith Courtyard, Mathewstad, NSW, 2959",0422-9456,kellywoods@example.org,Est sequi quas.,2018-06-28,2025-05-07,Expired
933488,Mary,Evans,1937-02-17,F,"5/17 Holly Motorway, New Matthewberg, NT, 0996",+61-411-133-060,longapril@example.com,Ratione quaerat dolor assumenda dolore voluptatum nesciunt.,2016-03-05,2023-07-06,Expired
441001,James,Wilson,1926-02-06,F,"764 Danielle Driveway, East James, VIC, 2978",02 9729 6687,martha73@example.net,Ut ab provident quia et eum minima soluta.,2015-12-29,2022-06-10,Expired
42450,Brandi,Robbins,1986-05-15,O,"0 Jeffrey Beach, Alexismouth, TAS, 2642",+61-475-868-809,gregorylinda@example.net,Quia temporibus dignissimos modi.,2020-06-13,2027-06-22,Active
271493,Teresa,Bruce,1975-03-24,O,"0 Kevin Ring, Marvinfort, SA, 2936",+61 8 0223 4500,fbutler@example.net,Perferendis corrupti voluptates illum.,2021-04-10,2024-07-24,Active
536110,Stephen,Garcia,1942-12-11,F,"9 Crystal Circle, Jamesfort, NSW, 2297",+61 451 942 641,benjaminmyers@example.com,Iste ratione asperiores aliquid vel.,2021-08-11,2023-10-13,Active
509532,Rachel,Duffy,1999-10-26,M,"886 Dougherty Court, Snowchester, NSW, 2561",62076607,jennifer15@example.org,Facere adipisci expedita ab.,2017-04-06,2023-06-27,Suspended
424604,Chad,Barry,1950-08-25,F,"1 Kelly Terrace, South Micheleburgh, WA, 2619",+61742035574,sharon85@example.org,Voluptatibus aut neque culpa tempore veniam rem et.,2017-06-21,2021-06-30,Suspended
962838,Kari,Carter,1979-06-23,O,"0 Miller Broadway, Port Kevin, VIC, 2639",+61-7-5137-5806,usmith@example.com,Dignissimos eos iusto veniam recusandae eius.,2015-12-17,2027-11-29,Suspended
821872,Sean,Ross,1979-09-27,M,"758 Michael Run, St. Kariport, ACT, 2619",+61.2.3414.8926,fdavis@example.org,Quis eius voluptates blanditiis sunt aliquam ducimus.,2022-04-17,2027-03-29,Expired
870163,Jennifer,Wallace,1956-09-21,M,"Unit 91 144 Wilson Extension, East Robert, SA, 2928",03 8168 6447,ashley22@example.org,Fugit nihil consequuntur pariatur.,2019-05-14,2027-05-29,Suspended
318046,Julia,Robinson,1988-11-16,M,"Apt. 742 7 Paige Driveway, Lake Thomastown, NSW, 2460",(02)19044329,james67@example.net,Fugit ex officia porro corporis ut.,2015-11-07,2024-10-07,Suspended
499748,Leslie,Clark,1947-10-09,F,"67/33 Bentley Road, Port Arthurland, NT, 2970",+61-423-949-184,robert08@example.net,Ut vel neque laudantium provident dolor eaque.,2014-02-01,2014-12-24,Expired
375441,Francisco,Smith,1923-04-25,O,"39 Grant Edge, Leeville, NSW, 2945",0475-408-035,clarkalice@example.org,Dolorum quas error maxime harum.,2021-07-17,2024-06-19,Active
611720,Monica,Allen,1963-12-19,F,"77 Sally Mall, Stevensville, NSW, 2431",08 3791 6860,johnrobinson@example.com,Eum ipsa nam eligendi molestiae dicta.,2018-05-22,2025-11-26,Expired
934973,Willie,Murray,1957-11-11,F,"191 Jessica Extension, New Nichole, ACT, 4860",64195384,jodivalenzuela@example.org,Esse eveniet fuga laboriosam neque consequatur accusamus.,2021-12-06,2024-09-19,Suspended
952225,Michael,Walters,1940-01-05,O,"812 Kimberly Way, Hudsonborough, QLD, 2623",+61 7 9927 1908,tracy40@example.org,Officiis optio libero veritatis laboriosam et sed.,2017-10-01,2020-02-02,Active
229053,Cassandra,Warner,1965-05-29,O,"Apt. 305 3 Roy Strand, New Max, NT, 2930",(02)25070030,perezdesiree@example.org,Exercitationem optio consequatur ullam.,2020-12-23,2024-09-05,Expired
529202,Douglas,Collins,1967-02-04,F,"Apt. 648 7 Annette Colonnade, Finleyburgh, ACT, 3298",02 5323 0282,simmonsmichelle@example.org,Occaecati quae nostrum aliquam excepturi qui fugiat numquam.,2013-12-16,2022-05-27,Suspended
146039,Christopher,Carter,1942-11-13,F,"5 Jill Loop, Josephfort, VIC, 1484",0470-898-407,zgriffith@example.com,Amet earum voluptatum ducimus perspiciatis praesentium ut.,2016-11-11,2025-11-12,Active
295528,Zachary,Hughes,1956-06-15,O,"5 Brenda Trailer, Franciscoberg, TAS, 1909",07 5445 7696,aarontaylor@example.org,Commodi ut veniam laboriosam veniam repellendus.,2017-09-21,2028-02-20,Active
146534,Jacob,Dunn,1980-01-13,M,"2 Donna Crescent, Port Karenview, SA, 2920",+61-7-4888-5536,meganbrady@example.org,Fugit iure alias totam odio reiciendis quis.,2013-08-10,2019-10-08,Suspended
792518,Allison,Pugh,1948-10-25,F,"Apt. 393 26 Ashley Esplanade, Shieldsville, QLD, 2647",6644.6595,parkertravis@example.com,Quis harum quod numquam harum.,2013-12-29,2023-11-27,Suspended
99437,Steven,Gallegos,1939-08-08,O,"Apt. 678 019 Ward Bridge, East Emily, WA, 2150",(08).2462.9264,martinpatricia@example.com,Quas maxime reprehenderit.,2019-12-06,2028-01-03,Suspended
648406,Henry,Mcbride,1933-08-11,M,"34 Graves Fairway, Zacharymouth, NT, 2618",02 9280 5137,lisaboyd@example.net,Totam consequatur quo animi aspernatur maxime.,2013-05-20,2027-03-19,Suspended
838234,Kimberly,Garcia,2005-01-11,F,"685/1 Logan Approach, West Andrew, QLD, 2160",(08)-0925-1607,cassandra94@example.net,Natus rem impedit adipisci rem.,2016-07-31,2023-03-05,Expired
262674,Caleb,Davis,1925-11-27,M,"690 Bryant Ride, Alvarezton, VIC, 2708",15517028,susan06@example.com,Velit possimus cum quod.,2016-01-17,2026-12-07,Suspended
953938,Erin,Hahn,1967-01-08,F,"03/452 Michael Crest, Fordshire, NT, 2989",2906 2200,william00@example.org,Nostrum quod perferendis fugit ad ipsa totam.,2019-01-02,2023-03-22,Suspended
